Ecm_cutoff,Lbyas,irrep,input_file_path,file_exists,file_size_bytes,sha256,columns_detected,n_rows_read,status,audit_status
0.335,20,111_A2,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_111_A2_n2.jack,True,7181,4a4095d2dccf0d37eabaf371c528f38fe9d025740bf1826362c69959e49ce130,whitespace columns; header skipped; En_lab column 2,603,EXCLUDED_BY_CUTOFF,PASS
0.335,20,111_A2,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_111_A2_n3.jack,True,7172,8ac5990951f5a0220a9428fdb8ef43e10216c16a8bf5d396d93478fbf15189ba,whitespace columns; header skipped; En_lab column 2,603,EXCLUDED_BY_CUTOFF,PASS
0.335,20,111_A2,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_111_A2_n4.jack,True,7192,a8654450774bafe98338c5271c713c7a50b4a283df7cc4cb43d14a490eb61784,whitespace columns; header skipped; En_lab column 2,603,EXCLUDED_BY_CUTOFF,PASS
0.335,20,200_A2,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_002_A2_n3.jack,True,7174,0b2381e064666db199a969f5a8d507dffca3c1b846f2833abe334fc80514e398,whitespace columns; header skipped; En_lab column 2,603,EXCLUDED_BY_CUTOFF,PASS
0.345,20,000_A1m,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_000_A1m_n0.jack,True,7168,9da8701489471fc2d54a29a0b36498aeb1f41186ad5be039f5dfc1d8bcd36f27,whitespace columns; header skipped; En_lab column 2,603,USED,PASS
0.345,20,100_A2,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_001_A2_n0.jack,True,7188,4b6ee2712963ba51c3bcb4e79053047c98f8f710dfe10da2865dcae842d626ed,whitespace columns; header skipped; En_lab column 2,603,USED,PASS
0.345,20,100_A2,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_001_A2_n1.jack,True,7179,1ddea6cbdb1dea35eec2c8639e9f38d67dbbbfa1ff4049ed1c191c06aa050685,whitespace columns; header skipped; En_lab column 2,603,USED,PASS
0.345,20,110_A2,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_011_A2_n0.jack,True,7170,341e5b95e8248ba1fdb1226ac39009fd34dfe2af23c4987d40d40dfa0eda8cc0,whitespace columns; header skipped; En_lab column 2,603,USED,PASS
0.345,20,110_A2,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_011_A2_n1.jack,True,7177,c613545dee8d0c89c9582e6668ae5e4d31e4b8115c3b87326a4e5b19cb5cb2d9,whitespace columns; header skipped; En_lab column 2,603,USED,PASS
0.345,20,110_A2,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_011_A2_n2.jack,True,7170,96b2bae90a0f5461c5e9b00272c5c1d4c3678607b116545dee3521146e79e4b7,whitespace columns; header skipped; En_lab column 2,603,USED,PASS
